Aridity_Index,Bacterivores,CliMond_Annual_Mean_Radiation,CliMond_Highest_Weekly_Radiation,CliMond_Lowest_Weekly_Radiation,CliMond_Radiation_Seasonality,CliMond_Radiation_of_Coldest_Quarter,CliMond_Radiation_of_Driest_Quarter,CliMond_Radiation_of_Warmest_Quarter,CliMond_Radiation_of_Wettest_Quarter,EVI,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Contrast_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Dissimilarity_EVI,EarthEnvTexture_Entropy_EVI,EarthEnvTexture_Evenness_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTexture_Maximum_EVI,EarthEnvTexture_Range_EVI,EarthEnvTexture_Shannon_Index,EarthEnvTexture_Simpson_Index,EarthEnvTexture_Std_EVI,EarthEnvTexture_Uniformity_EVI,EarthEnvTexture_Variance_EVI,EarthEnvTopoMed_Eastness,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Hillshade,EarthEnvTopoMed_Northness,EarthEnvTopoMed_Slope,Fungivores,Global_Biomass_IPCC,Gpp,Herbivores,Human_Development_Percentage,NDVI,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,Nadir_Reflectance_Band4,Nadir_Reflectance_Band5,Nadir_Reflectance_Band6,Nadir_Reflectance_Band7,Npp,Omnivores,PET,Pixel_Lat,Pixel_Long,Population_Density,Predators,SG_Bulk_density_015cm,SG_CEC_015cm,SG_Clay_Content_015cm,SG_Coarse_fragments_015cm,SG_Depth_to_bedrock,SG_Probability_of_occurrence_of_R_horizon,SG_SOC_Content_015cm,SG_SOC_Stock_005cm_to_015cm,SG_Sand_Content_015cm,SG_Silt_Content_015cm,SG_Soil_pH_H2O_015cm,Total_Number,Unidentified,WWF_Biome,WorldClim2_Annual_Mean_Temperature,WorldClim2_Annual_Precipitation,WorldClim2_Isothermality,WorldClim2_Max_Temperature_of_Warmest_Month,WorldClim2_Mean_Diurnal_Range,WorldClim2_Mean_Temperature_of_Coldest_Quarter,WorldClim2_Mean_Temperature_of_Driest_Quarter,WorldClim2_Mean_Temperature_of_Warmest_Quarter,WorldClim2_Mean_Temperature_of_Wettest_Quarter,WorldClim2_Min_Temperature_of_Coldest_Month,WorldClim2_Precipitation_Seasonality,WorldClim2_Precipitation_of_Coldest_Quarter,WorldClim2_Precipitation_of_Driest_Month,WorldClim2_Precipitation_of_Driest_Quarter,WorldClim2_Precipitation_of_Warmest_Quarter,WorldClim2_Precipitation_of_Wettest_Month,WorldClim2_Precipitation_of_Wettest_Quarter,WorldClim2_Temperature_Annual_Range,WorldClim2_Temperature_Seasonality
9894,347,125.8941727,178.1450043,80.50330353,0.28328371,87.94025421,87.94025421,171.3016205,161.1463776,3427.675293,449,75068,2105,20319,26775,9316,4020,1243,758,19372,8383,231,763,48775,-0.119579911,776.5,776.5,0.015784953,14.5555172,238,10500,11153.06641,162,9,5552.751953,472.5795593,2509.135254,318.045105,564.2203979,2458.262451,1589.964111,760.6832275,6097.033203,62,1043,31.97083282,106.6208344,584.5447388,15,1336.801147,14.37303352,25.3758316,18.75045204,199.9119415,13.48963165,14.70925617,20.14667892,29.94034386,44.82971954,63.91538239,824,NA,4,15.15833282,1032,26.3552475,28.89999962,7.616666794,5.266666412,5.266666412,24.60000038,23.68333244,0,80.82912445,30,8,30,507,212,542,28.89999962,778.2814331
4838,662,145.7216034,199.3739929,93.55599976,0.264405847,101.085556,103.124939,193.7713013,180.0426941,1891.50769,2752,923973,4525,73017,28937,9786,1386,1044,3023,25010,9127,994,595,862206,0.123354301,404.5,404.5,-0.16494979,0.356758416,137,500,5577.598145,479,93,2565.320557,2068.492432,3129.513916,1660.864624,1871.288452,2869.970947,1984.921753,2118.049316,3395.022705,72.5,1293,34.52916718,108.8458328,1356.391235,15,1401.579956,15.73484039,21.38652229,15.76173878,200,0.51781404,7.065272808,10.19165897,27.25659943,51.29576492,80.57937622,1365.5,NA,4,13.1208334,626,30.84415627,31.29999924,11.875,0.866666734,0.866666734,25.03333282,23.58333397,-7.199999809,71.96140289,23,6,23,278,115,314,38.5,975.6477051
10347,842,77.52204126,178.4190062,0.400000006,0.815163433,11.07308101,73.72602838,148.9350432,142.1782073,245.7336884,1037.999999,177360.9999,2996.999998,34027.99997,26560.99998,9576.999992,2461.999998,1075.999999,1184.999999,19914.99998,8520.999993,360.9999997,731.9999994,121783.9999,0,427,427,0,0,334,0,2759.800047,871,0,2280.01416,1977.091553,1801.863647,1996.492676,2036.560425,748.2299194,261.2539673,117.6050262,1752.19995,145,544,66.16249847,17.75416756,0.239017605,15,787.0050659,52.67514801,12,23.65988159,183.9745636,50,72.02035522,72.67514801,46.00508881,41.99491119,53.3299408,2206,NA,6,0.300000042,563,23.08096695,15.39999962,7.316666603,-9.899999619,-6.949999809,11.35000038,10.16666698,-16.29999924,36.41407013,101,29,92,209,89,210,31.69999886,863.3497314
4161,355,146.6282806,256.7489929,52.41270065,0.467568457,70.1760788,237.1361542,228.9355316,90.83600616,2490.306396,1414,226992,3830,36924,29264,9662,2326,832,1377,23149,8899,452,568,210505,-0.776610613,50.5,50.5,0.110304534,1.515126467,256,500,8448.683594,640,96,4156.202637,1045.028564,2505.82666,526.2670288,904.3933105,2918.274902,2511.360107,1698.69873,5841.609863,63,1444,43.47916794,3.487499952,98.22103882,15,1328.774048,17.81002998,24.62219048,13.41094017,200,10.17850208,16.878582,23.62164879,39.78058243,35.48497772,74.74630737,1329,NA,12,14.625,601,36.97916794,27.60000038,9.466667175,7.783333302,22.25,22.25,11.21666622,2,33.10007858,173,18,89,89,86,201,25.60000038,596.3925781
5034,177,148.888092,263.3070068,51.95000076,0.480354577,69.41249084,243.6036224,235.2693787,108.8998108,2722.897705,941,157761,2412,30055,27912,9260,3269,1293,1305,19896,8391,358,683,106188,0.465167582,169,169,-0.368276805,2.200180769,163,500,12401.74414,315,45,4570.253418,888.4493408,2532.851563,492.5083008,829.8532715,2825.812256,2340.875244,1546.248413,8575.956055,63,1384,43.96250153,3.854166746,134.5891876,15,1188.708496,19.98495293,28.47151947,14.8838625,200,8.184236526,24.98555374,29.01301575,33.07385635,38.40541458,72.47601318,732,NA,12,13.53749943,697,36.26207733,27.20000076,10.00833321,6,21.79999924,21.79999924,13.9333334,-0.400000006,32.77526855,185,25,113,113,105,232,27.60000038,644.4064331
9205,834,120.1530838,221.0039978,29.79579926,0.557533383,41.39058304,112.8755875,197.7425385,36.9369545,3636.755371,576,140479,3277,28324,28036,9521,3243,1190,1254,20772,8629,331,675,104880,0.015606521,422,422,-0.027022442,3.126234531,434,571.4232788,10758.87793,613,70,5654.300293,753.5123291,3048.841309,380.0097351,737.7867432,3183.869141,2285.864746,1174.812256,6753.512207,44.5,920,47.58750153,5.020833492,6.72520256,16,1125.11145,23.51174355,28.22358513,20.48169327,200,18.85082436,25.59871483,33.03656769,19.72243118,52.02864075,69.7519455,1943.5,NA,4,9.425000191,847,31.62568283,21,7.716666698,2.049999952,5.333333492,17.21666718,5.650000095,-3.400000095,11.57287502,217,57,184,203,84,230,24.39999962,622.3288574
13120,560,115.6537399,205.8560028,29.34609985,0.555381358,43.23209381,196.7793884,180.2060699,36.20364761,4331.15625,634,137624,3236,28054,27332,9404,2908,1220,1348,21064,8615,344,720,99024,-0.694699168,66,66,-0.413943291,2.185175419,218,473.9760437,14569.35156,1089,74,6368.852539,688.1011353,3140.224365,383.5018311,743.9487305,3078.651123,2130.61084,1186.998047,9776.606445,16,815,48.22083282,-4.362500191,77.05630493,16,1061.246216,14.43996525,20.28754616,9.464841843,200,23.42027283,25.30903244,35.19673538,30.84924889,48.75031662,59.38608932,1899,NA,4,11.49166679,1070,37.21173859,19.39999962,5.916666508,7.233333111,16.13333321,16.28333282,8.100000381,3.5,34.66042709,373,45,156,186,133,391,15.89999962,375.5894165
13726,731,115.1970596,206.0720062,28.44519997,0.561314344,42.34644699,196.8243103,179.8626099,35.38836288,5137.059082,394,99167,3360,25269,28865,9201,3174,972,934,19385,8335,259,587,74087,0.211550236,56.5,56.5,-0.33741948,2.100161791,95,300,14968.54199,3669,62,7169.524902,546.0956421,3619.294678,296.0796204,669.1917725,3397.569092,2229.745605,1080.309814,9754.464844,238,800,48.50416565,-4.612500191,59.01512527,16,879.1867065,15.88627148,16.69188309,11.33747387,200,19.96791649,28.6711731,35.75580978,32.52456284,50.92025375,57.4396019,4749,NA,4,11.34583378,1099,39.25576401,19.20000076,6.241666794,7.233333111,15.85000038,15.98333359,8.033332825,3.299999952,34.08283615,384,48,160,192,137,394,15.90000057,363.3647156
8810,395,119.3264771,214.8000031,29.64520073,0.55968833,44.00004578,179.0042267,187.7900696,39.4458313,3881.219971,529,145371,-615,28900,25878,9577,3172,1498,1037,21249,8704,277,887,74510,0.263311565,96,96,-0.660318494,0.893036008,180,414.2963257,11069.54395,384,100,5855.412109,767.8074341,2973.799805,398.8963318,762.9001465,2883.623291,2065.917969,1163.170044,7551.773926,52,940,48.17916489,-2.195833445,265.9339294,17,971.9478149,10.87533855,19.30209541,10.46282673,200,20.25008774,15.89937305,25.91327667,28.51338387,52.15919495,61.97245407,1029,NA,4,11.59166718,829,37.32993317,21.10000038,7.316666603,6.266666889,17.28333282,17.35000038,7.150000095,1.5,24.44653511,247,47,144,161,97,274,19.60000038,458.3955994
8974,797,139.2156982,182.0010071,112.7350006,0.159221932,123.4093094,130.4168396,137.9867706,134.3703918,3157.263428,688,88373,4895,24273,28110,9557,2918,907,1203,22487,8828,317,642,83813,-0.236876965,2066,2066,0.281767458,11.26132965,27,7775.004395,12469.03613,89,51,5385.230469,672.8522339,2473.146729,319.1027832,612.5106201,2813.001221,2200.503174,1310.179199,6438.445801,80,1203,25.13750076,104.1374969,185.5889893,18,1229.460815,19.9016037,31.66156769,22.38537025,200,13.3226347,27.69679451,28.89386559,30.68860054,37.88483429,58.26528549,1010,NA,1,13.70833302,1080,39.04321289,23.89999962,8.433333397,7.199999809,7.199999809,19.01666641,19.01666641,2.299999952,82.18749237,49,14,49,587,202,587,21.60000038,481.1247864
